full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
LeBron James,97,#23,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,$37436858,USA,2003,1,1,No college,Old
Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,$32742000,USA,2011,1,15,San Diego State,6
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,$25842697,Greece,2013,1,15,No college,9
Kevin Durant,96,#7,Brooklyn Nets,F,09/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,$37199000,USA,2007,1,2,Texas,3
James Harden,96,#13,Houston Rockets,G,08/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,$38199000,USA,2009,1,3,Arizona State,4
Stephen Curry,95,#30,Golden State Warriors,G,03/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,$40231758,USA,2009,1,7,Davidson,3
Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,$27093019,USA,2012,1,1,Kentucky,8
Paul George,93,#13,Los Angeles Clippers,F,05/02/1990,6-8 / 2.03,210 lbs. / 95.3 kg.,$33005556,USA,2010,1,10,Fresno State,5
Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,$29802321,USA,2012,1,6,Weber State,5
Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,$27504630,Cameroon,2014,1,3,Kansas,9
Kyrie Irving,91,#11,Brooklyn Nets,G,03/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,$31742000,Australia,2011,1,1,Duke,7
Nikola Jokic,90,#15,Denver Nuggets,C,02/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,$27504630,Serbia,2014,2,41,No college,10
Russell Westbrook,90,#0,Houston Rockets,G,11/12/1988,6-3 / 1.91,190 lbs. / 86.2 kg.,$38506482,USA,2008,1,4,UCLA,3
Klay Thompson,89,#11,Golden State Warriors,G,02/08/1990,6-6 / 1.98,205 lbs. / 93 kg.,$32742000,USA,2011,1,11,Washington State,5
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,$27285000,USA,2015,1,1,Kentucky,10
Jimmy Butler,88,#22,Miami Heat,G,09/14/1989,6-7 / 2.01,220 lbs. / 99.8 kg.,$32742000,USA,2011,1,30,Marquette,4
Rudy Gobert,88,#27,Utah Jazz,C,06/26/1992,7-1 / 2.16,238 lbs. / 108 kg.,$25258427,France,2013,1,27,No college,7
Blake Griffin,88,#23,Detroit Pistons,F,03/16/1989,6-9 / 2.06,252 lbs. / 114.3 kg.,$34449964,USA,2009,1,1,Oklahoma,4
Donovan Mitchell,88,#45,Utah Jazz,G,09/07/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,$3635760,USA,2017,1,13,Louisville,11
Kemba Walker,88,#8,Boston Celtics,G,05/08/1990,6-0 / 1.83,172 lbs. / 78 kg.,$32742000,USA,2011,1,9,UConn,5
Luka Doncic,87,#77,Dallas Mavericks,G-F,02/28/1999,6-7 / 2.01,227 lbs. / 103 kg.,$7683360,Slovenia,2018,1,3,No college,14
LaMarcus Aldridge,87,#12,San Antonio Spurs,F-C,07/19/1985,6-11 / 2.11,246 lbs. / 111.6 kg.,$26000000,USA,2006,1,2,Texas,Old
Bradley Beal,87,#3,Washington Wizards,G,06/28/1993,6-3 / 1.91,207 lbs. / 93.9 kg.,$27093018,USA,2012,1,3,Florida,8
Mike Conley,87,#10,Utah Jazz,G,10/11/1987,6-1 / 1.85,185 lbs. / 83.9 kg.,$32511623,USA,2007,1,4,Ohio State,2
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,08/07/1989,6-6 / 1.98,220 lbs. / 99.8 kg.,$27739975,USA,2009,1,9,USC,4
CJ McCollum,87,#3,Portland Trail Blazers,G,09/19/1991,6-3 / 1.91,197 lbs. / 89.4 kg.,$27556959,USA,2013,1,10,Lehigh,6
Victor Oladipo,87,#4,Indiana Pacers,G,05/04/1992,6-4 / 1.93,213 lbs. / 96.6 kg.,$21000000,USA,2013,1,2,Indiana,7
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,08/02/1995,7-3 / 2.21,220 lbs. / 99.8 kg.,$27285000,Latvia,2015,1,4,No college,10
